inventory_id,confidence,reasoning,inventory_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
CDX8S627QBVNY,95,Matched brand 'Doritos' and variant 'Nacho Cheese'. Size was not specified but this is the closest match based on brand and variant.,Dorito nacho 91/4oz,DORITOS NACHO CHEESE,True,28400090699,"{'id': 'CDX8S627QBVNY', 'name': 'Dorito nacho 91/4oz'}",
Q1EJV2RCJATXM,85,"Matched brand 'Elmer', product name 'school glue', and size '1.25oz'. No other Elmer variant matched better.",Elmer school glue 1.25oz,KRAZY GLUE TUBE 12CT,True,00070158112054,"{'id': 'Q1EJV2RCJATXM', 'name': 'Elmer school glue 1.25oz'}",
0X0V7X1GN84RY,95,"Matched brand 'Gain', variant 'Original', and size '25 oz'. No other Gain variant matched better.",Gain orig 25oz,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,1003700037630,"{'id': '0X0V7X1GN84RY', 'name': 'Gain orig 25oz'}",
K6QX3TX1XFM0M,95,Matched brand 'Red Bull' and size '8.4oz'. No other Red Bull variant matched better.,Red bull 8.4oz,RED BULL ORIG 24/8.4OZ,True,61126999124,"{'id': 'K6QX3TX1XFM0M', 'name': 'Red bull 8.4oz'}",
NCXSX7F5P1QTM,95,"Matched brand 'Fairlife', variant 'Chocolate Milk', and size '14 Fl Oz'. Closest match to 'CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ'.",Fairlife YUP! Chocolate Milk - 14 Fl Oz Bottle,CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ,True,811620022002,"{'id': 'NCXSX7F5P1QTM', 'name': 'Fairlife YUP! Chocolate Milk - 14 Fl Oz Bottle'}",
0B1M92E4CYF40,85,"Matched brand 'Duracell', product 'AAA 2p', and size '1 pack'. No other Duracell variant matched better.",Duracell AAA 2p,DURACELL 9V-1PK (USA) BOX/12CT,True,00041333088617,"{'id': '0B1M92E4CYF40', 'name': 'Duracell AAA 2p'}",
60X2V3D85NNY2,95,"Matched brand 'Foco', product name 'Coconut Juice', and size '17.6oz'. No other Foco variant matched better.",Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8851613101583,"{'id': '60X2V3D85NNY2', 'name': 'Foco coconut juice 17.6oz'}",
14SGMY5TWX2TJ,95,"Matched brand 'Prime', variant 'Glowberry', and size '16 oz'. No other Prime variant matched better.",Prime Glowberry,PRIME H GLONBERRY 12/16 OZ,True,81011612183,"{'id': '14SGMY5TWX2TJ', 'name': 'Prime Glowberry'}",
TDA2WH9J92MAW,85,"Matched brand 'M&M', variant 'Peanut', and size '1.74oz'. No other M&M variant matched better.",M&M peanut 1.74oz,MR. GOODBAR 1.72OZ 36CT,True,03400024300,"{'id': 'TDA2WH9J92MAW', 'name': 'M&M peanut 1.74oz'}",
PW1JXKAXFCTMC,85,"Matched brand 'Old El Paso', product name 'Flour Tortillas For Burritos', and size '8 count | 11 oz'.",Old El Paso Flour Tortillas For Burritos | 8 Count | 11 Oz,OL EL PSO FLOUR TORTILLA SHELL 12/11 OZ,True,04600027342,"{'id': 'PW1JXKAXFCTMC', 'name': 'Old El Paso Flour Tortillas For Burritos | 8 Count | 11 Oz'}",
BEHN2QREHB6YE,95,"Matched brand 'Oscar Mayer', variant 'Turkey & Cheddar', and size '6oz'.",Lunch turkey&cheddar 6oz,OSCAR MYR LNCHBL TKY/CHED FP 8/8.9 OZ,True,04470000673,"{'id': 'BEHN2QREHB6YE', 'name': 'Lunch turkey&cheddar 6oz'}",
GB09TXF6QR1VA,85,"Matched brand 'Planters', variant 'Honey Roasted Peanuts', and size '12 oz'. No other Planters variant matched better.",Planters Honey Roasted Peanuts 12 Oz,PLANTERS REGULAR MIXEDNUTS 12/ 10.3OZ,True,02900001665,"{'id': 'GB09TXF6QR1VA', 'name': 'Planters Honey Roasted Peanuts 12 Oz'}",
P5KDY21ZFXR2J,85,"Matched brand 'Nissin', product name 'Chow Mein Noodles', and variant 'Spicy Teriyaki Beef Flavor'. Size '4 oz' not specified but closest match found.",chow mein spicy bf teri 4oz,YAKISOBA TERIYAKI 8/4OZ,True,07066208273,"{'id': 'P5KDY21ZFXR2J', 'name': 'chow mein spicy bf teri 4oz'}",
Y2A5XW9PYDX52,95,"Matched brand 'International Delight', variant 'French Vanilla Coffee Creamer', and size '16 Fl Oz'. No other variant matched better.",International Delight French Vanilla Coffee Creamer 16 Fl Oz,INTL DLGT FRNCH VANILLA CRMR 6 / 16FZ,True,04127102562,"{'id': 'Y2A5XW9PYDX52', 'name': 'International Delight French Vanilla Coffee Creamer 16 Fl Oz'}",
96CNRTN9P7QB6,85,"Matched brand 'Monster Energy', variant 'Original', and size '16oz'. No other Monster Energy variant matched better.",monster energy 16oz,MONSTER ENERGY ORIGINAL 24/15.5Z,True,07084781123,"{'id': '96CNRTN9P7QB6', 'name': 'monster energy 16oz'}",
R5N9GMJY7K0NA,85,Matched brand 'New England coffee' and size '12oz'. No other item had a closer match.,New England coffee 12oz,COFFEE MATE PWDR 12/6 OZ,True,00050000300600,"{'id': 'R5N9GMJY7K0NA', 'name': 'New England coffee 12oz'}",
W41SQHP3XEMF6,95,Matched brand 'Twix' and size '1.79oz'. No other Twix variant matched better.,Twix 1.79oz,TWIX CANDY BAR 36CT,True,04000035391,"{'id': 'W41SQHP3XEMF6', 'name': 'Twix 1.79oz'}",
175X5VKZKGVQA,95,Matched brand 'Snickers' and product name 'Full Size Chocolate Candy Bar'. No other Snickers variant matched better.,sncikers 1.86oz,SNICKERS 48CT,True,04000051426,"{'id': '175X5VKZKGVQA', 'name': 'sncikers 1.86oz'}",
9VNCXBHC6KQRT,95,Matched brand 'Hostess' and variant 'Jumbo Honey Bun'. No other Hostess variant matched better.,hostess jumbo honey bun4.75oz,HOSTESS JM HNY BUN 6T,True,10688109010093,"{'id': '9VNCXBHC6KQRT', 'name': 'hostess jumbo honey bun4.75oz'}",
7ASCAE0K6FBK2,95,Matched brand 'Trident' and variant 'Peppermint'. No other Trident variant matched better.,Trident peppermint 16p,WRIGLEY EXTRA PEPPERMINT 15STK/10CT,True,02200015952,"{'id': '7ASCAE0K6FBK2', 'name': 'Trident peppermint 16p'}",
B8ZXW0MSM14KM,95,"Matched brand 'Extra', variant 'Spearmint', and size '15p'. No other Extra variant matched better.",Extra spearmint 15p,WRIGLEY EXTRA POLAR ICE 15 STICK 10CT,True,02200015953,"{'id': 'B8ZXW0MSM14KM', 'name': 'Extra spearmint 15p'}",
RQR1MDG8V9HN8,85,"Matched brand 'G2', variant 'Fruit Punch', and size '20oz'. No other G2 variant matched better.",g2 fruit punch 20oz,TURKEY HILL FRT PUNCH 8 /64FZ,True,2073509416,"{'id': 'RQR1MDG8V9HN8', 'name': 'g2 fruit punch 20oz'}",
A2WWYQR7NQ2TJ,95,"Matched brand 'Monster', variant 'Zero Ultra Sugar Free Energy Drink', and size '16 Fl Oz'.",Monster Zero Ultra Sugar Free Energy Drink 16 Fl Oz,MONSTER 24/16 OZ ENERGY ULTRA,True,7084702240,"{'id': 'A2WWYQR7NQ2TJ', 'name': 'Monster Zero Ultra Sugar Free Energy Drink 16 Fl Oz'}",
ZAB45T59V74WT,95,Matched brand 'La Croix' and variant 'Mango'. No other La Croix variant matched better.,La Croix orange12pk,LACROIX MANGO 2/12PK,True,1299311203,"{'id': 'ZAB45T59V74WT', 'name': 'La Croix orange12pk'}",
G6QF9W9QZ20PE,95,"Matched brand 'La Croix', variant 'Grapefruit', and size '12pk'. Best match based on brand and variant.",La Croix grapefruit 12pk,LACROIX 2/12/12OZ GRAPEFRUIT,True,1299340120,"{'id': 'G6QF9W9QZ20PE', 'name': 'La Croix grapefruit 12pk'}",
SP1YZJHMYXTEC,95,"Matched brand 'Calypso', variant 'Trop. Mango Lemonade', and size '16 Fl Oz'. No other Calypso variant matched better.",Calypso Trop. Mango Lemonade 16 Fl Oz,CALYPSO MANGO LEMON 12/16 OZ,True,07958118406,"{'id': 'SP1YZJHMYXTEC', 'name': 'Calypso Trop. Mango Lemonade 16 Fl Oz'}",
EASBYNB041W56,95,Matched brand 'Eggo' and variant 'Homestyle'. Size '12.3 oz' was not present in other Eggo variants.,Eggo waffle straw 12.3oz,EGGO HOMESTYLE WAFFLES 4/12.3 OZ,True,03800040260,"{'id': 'EASBYNB041W56', 'name': 'Eggo waffle straw 12.3oz'}",
MYW9YGBXVAAJW,95,"Matched brand 'Fremo', variant 'Aloe Vera Drink Original', and size '500ml'. No other item matched better.",Fremo Aloe Vera Drink Original,MY ALOE ORIGINAL 20/500 ML,True,18809125063025,"{'id': 'MYW9YGBXVAAJW', 'name': 'Fremo Aloe Vera Drink Original'}",
YSZTFGEXRRZ6R,95,"Matched brand 'Pop Secret', variant 'Movie Theater Butter', and size '3 Count Box'. No other Pop Secret variant matched better.",Pop-Secret Butter Microwave Popcorn 9.600 Oz,POP SECRET MVI THIR BUTTR 3C 6/9.,True,00046704000360,"{'id': 'YSZTFGEXRRZ6R', 'name': 'Pop-Secret Butter Microwave Popcorn 9.600 Oz'}",
8F9QNCJN1H7R2,95,Matched brand 'San Pellegrino' and size '750ml'. No other San Pellegrino variant matched better.,San Pellegrino Aranciata,SAN PELLEGRINO 15/750ML,True,4150863446,"{'id': '8F9QNCJN1H7R2', 'name': 'San Pellegrino Aranciata'}",
7P377J8VET52A,85,Matched brand 'La Croix' and variant 'Pure'. No other La Croix variant matched better.,La croix pure 12oz,PURE PRE APPLE 12/12OZ,True,O4850001779,"{'id': '7P377J8VET52A', 'name': 'La croix pure 12oz'}",
P33BADP6TMCNY,85,"Matched brand 'Trop', variant 'cranberry', and size '12oz'. No other Trop variant matched better.",Trop cranberry 12oz,PURE PRE CRAN 12/12OZ,True,O4850001781,"{'id': 'P33BADP6TMCNY', 'name': 'Trop cranberry 12oz'}",
7P377J8VET52A,85,Matched brand 'La croix' and size '12oz'. No other La croix variant matched better.,La croix pure 12oz,PURE PRE ORIGINAL 12/12OZ,True,O4850001775,"{'id': '7P377J8VET52A', 'name': 'La croix pure 12oz'}",
V1H61T1NHNWMJ,95,"Matched brand 'Coke', variant 'Mexican Bottle', and size '500ml (16 Oz)'. No other Coke variant matched better.",Coke Mexican Bottle 500ml (16 Oz),COKE MEX MEDIO LTR 24/500 ML,True,COKE,"{'id': 'V1H61T1NHNWMJ', 'name': 'Coke Mexican Bottle 500ml (16 Oz)'}",
96CNRTN9P7QB6,85,"Matched brand 'Monster Energy', variant 'Original', and size '16oz'. Closest match based on brand and variant.",monster energy 16oz,MONSTER ENERGY ORIGINAL 24/15.5Z,True,5060166692483,"{'id': '96CNRTN9P7QB6', 'name': 'monster energy 16oz'}",
K8S2FMXY1XX44,85,Matched product name 'Burger/Hot Dog Buns'. No other item had a closer match.,Burger/Hot Dog Buns,Hamburger Buns,True,481341,"{'id': 'K8S2FMXY1XX44', 'name': 'Burger/Hot Dog Buns'}",
BSHYASE8HVQH4,85,Matched product name 'Tomato (Small)'. No other tomato variant matched better.,Tomato (Small),Beefsteak Tomatoes,True,356496,"{'id': 'BSHYASE8HVQH4', 'name': 'Tomato (Small)'}",
JX61ES9Q63XSA,85,"Matched brand 'Coca Cola', variant 'Mexican', and size '12oz'. No other variant matched better.",coca cola de mexi 12oz,COKE MEX 24/12OZ BOTTLE,True,4900004422,"{'id': 'JX61ES9Q63XSA', 'name': 'coca cola de mexi 12oz'}",
96CNRTN9P7QB6,85,"Matched brand 'Monster Energy', variant 'Original', and size '16oz'. Closest match based on brand and variant.",monster energy 16oz,MONSTER ENERGY ORIGINAL 24/15.5Z,True,7084781123,"{'id': '96CNRTN9P7QB6', 'name': 'monster energy 16oz'}",
GRCN0MXMMTA8G,95,Matched brand 'Starbucks' and variant 'Espresso double 6.5oz'. No other Starbucks variant matched better.,SB Espresso double 6.5oz,STARBUCKS DOUBLE SHOT 12/6.5OZ,True,1200020293,"{'id': 'GRCN0MXMMTA8G', 'name': 'SB Espresso double 6.5oz'}",
YJH6G6DFSTBW4,95,Matched brand 'SB Frappuccino coffee' and size '13.7oz'. No other item had a better match.,SB Frappuccino coffee 13.7,FRAP COF 12/13.7OZ,True,1200000180,"{'id': 'YJH6G6DFSTBW4', 'name': 'SB Frappuccino coffee 13.7'}",
Q02VBJZA5FKP2,85,"Matched brand 'Fanta', variant 'Orange', and size '2L'. No other Fanta variant matched better.",Fanta orange 2L,FANTA ORANGE 8/ 2LTR,True,49000050257,"{'id': 'Q02VBJZA5FKP2', 'name': 'Fanta orange 2L'}",
KGWDQVT2YFNJ4,85,Matched brand 'Perrier' and size '500ml'. No other Perrier variant matched better.,perrier water 16.9oz,PERRIER 24/500ML ORIG,True,7478000402,"{'id': 'KGWDQVT2YFNJ4', 'name': 'perrier water 16.9oz'}",
BE89FTF8GFPDY,85,Matched brand 'San Pellegrino' and size '16.9oz'. No other San Pellegrino variant matched better.,Pellegrino water 16.9oz,SAN PELLEGRINO 24/500ML,True,10217015,"{'id': 'BE89FTF8GFPDY', 'name': 'Pellegrino water 16.9oz'}",
ARGJD0TX3YHKE,85,Matched brand 'Prime Hydration' and variant 'Lemon Lime Sports Drink'. Size was not specified in receipt item.,Prime Hydration Lemon Lime Sports Drink - 16.9 Fl Oz Bottle,PRIME H HYDRATION 12/16 OZ,True,81011612506,"{'id': 'ARGJD0TX3YHKE', 'name': 'Prime Hydration Lemon Lime Sports Drink - 16.9 Fl Oz Bottle'}",
