inventory_id,confidence,reasoning,inventory_name,receipt_item,success,receipt_upc,inventory_item,vendor_item_id,vendor_name
W41SQHP3XEMF6,95,Matched brand 'Twix' and size '1.79oz'. No other Twix variant matched better.,Twix 1.79oz,TWIX CANDY BAR 36CT,True,04000035391,"{'id': 'W41SQHP3XEMF6', 'name': 'Twix 1.79oz'}",4452,
175X5VKZKGVQA,95,Matched brand 'Snickers' and product name 'Full Size Chocolate Candy Bar'. No other Snickers variant matched better.,sncikers 1.86oz,SNICKERS 48CT,True,04000051426,"{'id': '175X5VKZKGVQA', 'name': 'sncikers 1.86oz'}",4451,
9VNCXBHC6KQRT,95,Matched brand 'Hostess' and variant 'Jumbo Honey Bun'. No other Hostess variant matched better.,hostess jumbo honey bun4.75oz,HOSTESS JM HNY BUN 6T,True,10688109010093,"{'id': '9VNCXBHC6KQRT', 'name': 'hostess jumbo honey bun4.75oz'}",4471,
28VM1ARP82RZG,95,"Matched brand 'Extra', variant 'Peppermint', and size '15 sticks'. No other peppermint variant matched better.",Extra peppermint 15s,WRIGLEY EXTRA PEPPERMINT 15STK/10CT,True,02200015952,"{'id': '28VM1ARP82RZG', 'name': 'Extra peppermint 15s'}",4456,
B8ZXW0MSM14KM,95,"Matched brand 'Extra', variant 'Spearmint', and size '15p'. No other Extra variant matched better.",Extra spearmint 15p,WRIGLEY EXTRA POLAR ICE 15 STICK 10CT,True,02200015953,"{'id': 'B8ZXW0MSM14KM', 'name': 'Extra spearmint 15p'}",4458,
RQR1MDG8V9HN8,85,"Matched brand 'G2', variant 'Fruit Punch', and size '20oz'. No other G2 variant matched better.",g2 fruit punch 20oz,TURKEY HILL FRT PUNCH 8 /64FZ,True,2073509416,"{'id': 'RQR1MDG8V9HN8', 'name': 'g2 fruit punch 20oz'}",992,
564K8JKRRZE1T,95,"Matched brand 'Monster', variant 'Energy Drink Green', and size '16 oz'. No other Monster variant matched better.",Monster Energy Drink Green 16 Oz Can,MONSTER 24/16 OZ ENERGY ULTRA,True,7084702240,"{'id': '564K8JKRRZE1T', 'name': 'Monster Energy Drink Green 16 Oz Can'}",586,
ZAB45T59V74WT,95,Matched brand 'La Croix' and variant 'Mango'. No other La Croix variant matched better.,La Croix orange12pk,LACROIX MANGO 2/12PK,True,1299311203,"{'id': 'ZAB45T59V74WT', 'name': 'La Croix orange12pk'}",1045,
G6QF9W9QZ20PE,95,"Matched brand 'La Croix', variant 'Grapefruit', and size '12pk'. Best match based on brand and variant.",La Croix grapefruit 12pk,LACROIX 2/12/12OZ GRAPEFRUIT,True,1299340120,"{'id': 'G6QF9W9QZ20PE', 'name': 'La Croix grapefruit 12pk'}",1044,
SP1YZJHMYXTEC,85,"Matched brand 'Calypso', variant 'Trop. Mango Lemonade', and size '16 Fl Oz'. No other Calypso variant matched better.",Calypso Trop. Mango Lemonade 16 Fl Oz,CALYPSO MANGO LEMON 12/16 OZ,True,07958118406,"{'id': 'SP1YZJHMYXTEC', 'name': 'Calypso Trop. Mango Lemonade 16 Fl Oz'}",5612,
EASBYNB041W56,95,"Matched brand 'Eggo' and variant 'Homestyle'. Size '4/12.3 oz' not present in inventory, but closest match based on brand and variant.",Eggo waffle straw 12.3oz,EGGO HOMESTYLE WAFFLES 4/12.3 OZ,True,03800040260,"{'id': 'EASBYNB041W56', 'name': 'Eggo waffle straw 12.3oz'}",5614,
MYW9YGBXVAAJW,95,"Matched brand 'Fremo', product name 'Aloe Vera Drink Original', and size '500ml'.",Fremo Aloe Vera Drink Original,MY ALOE ORIGINAL 20/500 ML,True,18809125063025,"{'id': 'MYW9YGBXVAAJW', 'name': 'Fremo Aloe Vera Drink Original'}",169,
YSZTFGEXRRZ6R,95,"Matched brand 'Pop-Secret', variant 'Movie Theater Butter', and size '3 Count Box'.",Pop-Secret Butter Microwave Popcorn 9.600 Oz,POP SECRET MVI THIR BUTTR 3C 6/9.,True,00046704000360,"{'id': 'YSZTFGEXRRZ6R', 'name': 'Pop-Secret Butter Microwave Popcorn 9.600 Oz'}",4493,
8F9QNCJN1H7R2,95,Matched brand 'San Pellegrino' and variant 'Aranciata'. No other San Pellegrino variant matched better.,San Pellegrino Aranciata,SAN PELLEGRINO 15/750ML,True,4150863446,"{'id': '8F9QNCJN1H7R2', 'name': 'San Pellegrino Aranciata'}",776,
7P377J8VET52A,95,Matched brand 'La croix' and variant 'Pure'. No other item had a better brand and variant match.,La croix pure 12oz,PURE PRE APPLE 12/12OZ,True,O4850001779,"{'id': '7P377J8VET52A', 'name': 'La croix pure 12oz'}",147,
P33BADP6TMCNY,85,"Matched brand 'Trop', variant 'cranberry', and size '12oz'. No other Trop variant matched better.",Trop cranberry 12oz,PURE PRE CRAN 12/12OZ,True,O4850001781,"{'id': 'P33BADP6TMCNY', 'name': 'Trop cranberry 12oz'}",146,
7P377J8VET52A,85,Matched brand 'La croix' and size '12oz'. No other La croix variant matched better.,La croix pure 12oz,PURE PRE ORIGINAL 12/12OZ,True,O4850001775,"{'id': '7P377J8VET52A', 'name': 'La croix pure 12oz'}",148,
V1H61T1NHNWMJ,95,"Matched brand 'Coke', variant 'Mexican Bottle', and size '500ml (16 Oz)'. No other Coke variant matched better.",Coke Mexican Bottle 500ml (16 Oz),COKE MEX MEDIO LTR 24/500 ML,True,COKE,"{'id': 'V1H61T1NHNWMJ', 'name': 'Coke Mexican Bottle 500ml (16 Oz)'}",156,
96CNRTN9P7QB6,85,Matched brand 'Monster Energy' and size '16oz'. No other Monster Energy variant matched better.,monster energy 16oz,MONSTER ENERGY ORIGINAL 24/15.5Z,True,5060166692483,"{'id': '96CNRTN9P7QB6', 'name': 'monster energy 16oz'}",244,
K8S2FMXY1XX44,85,Matched product name 'Burger/Hot Dog Buns'. No other variant matched better.,Burger/Hot Dog Buns,Hamburger Buns,True,481341,"{'id': 'K8S2FMXY1XX44', 'name': 'Burger/Hot Dog Buns'}",5615,
BSHYASE8HVQH4,85,Matched 'Tomato (Small)' based on the closest description to 'Beefsteak Tomatoes'.,Tomato (Small),Beefsteak Tomatoes,True,356496,"{'id': 'BSHYASE8HVQH4', 'name': 'Tomato (Small)'}",5622,
JX61ES9Q63XSA,85,"Matched brand 'Coca Cola', variant 'Mexican', and size '12oz'. No other variant matched better.",coca cola de mexi 12oz,COKE MEX 24/12OZ BOTTLE,True,4900004422,"{'id': 'JX61ES9Q63XSA', 'name': 'coca cola de mexi 12oz'}",660,
96CNRTN9P7QB6,85,Matched brand 'Monster Energy' and size '16oz'. No other Monster Energy variant matched better.,monster energy 16oz,MONSTER ENERGY ORIGINAL 24/15.5Z,True,7084781123,"{'id': '96CNRTN9P7QB6', 'name': 'monster energy 16oz'}",584,
4V2HW0PYV08JG,95,Matched brand 'Starbucks' and variant 'Double Shot 6.5oz'. No other Starbucks variant matched better.,SB double shot 6.5oz,STARBUCKS DOUBLE SHOT 12/6.5OZ,True,1200020293,"{'id': '4V2HW0PYV08JG', 'name': 'SB double shot 6.5oz'}",1063,
YJH6G6DFSTBW4,95,Matched brand 'SB Frappuccino coffee' and size '13.7oz'. No other item had a closer match.,SB Frappuccino coffee 13.7,FRAP COF 12/13.7OZ,True,1200000180,"{'id': 'YJH6G6DFSTBW4', 'name': 'SB Frappuccino coffee 13.7'}",1070,
Q02VBJZA5FKP2,85,"Matched brand 'Fanta', variant 'Orange', and size '2L'. No other Fanta variant matched better.",Fanta orange 2L,FANTA ORANGE 8/ 2LTR,True,49000050257,"{'id': 'Q02VBJZA5FKP2', 'name': 'Fanta orange 2L'}",437,
KGWDQVT2YFNJ4,85,Matched brand 'Perrier' and size '500ml'. No other Perrier variant matched better.,perrier water 16.9oz,PERRIER 24/500ML ORIG,True,7478000402,"{'id': 'KGWDQVT2YFNJ4', 'name': 'perrier water 16.9oz'}",548,
BE89FTF8GFPDY,85,Matched brand 'San Pellegrino' and size '16.9oz'. No other San Pellegrino variant matched better.,Pellegrino water 16.9oz,SAN PELLEGRINO 24/500ML,True,10217015,"{'id': 'BE89FTF8GFPDY', 'name': 'Pellegrino water 16.9oz'}",1083,
ARGJD0TX3YHKE,85,Matched brand 'Prime Hydration' and variant 'Lemon Lime Sports Drink'. Size was not specified in the receipt item description.,Prime Hydration Lemon Lime Sports Drink - 16.9 Fl Oz Bottle,PRIME H HYDRATION 12/16 OZ,True,81011612506,"{'id': 'ARGJD0TX3YHKE', 'name': 'Prime Hydration Lemon Lime Sports Drink - 16.9 Fl Oz Bottle'}",297,
